identifier,identifier 2,title_initial_article,title,public_note,public_note 2,public_note 3,abstract,abstract 2,abstract 3 1,abstract 3 2,abstract 3 3,subject_geographic_hierarchical_street,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_country,subject_geographic,rights,repository,record_source,item_type,form,digital_origin,language,date_text,date_single_start,date_end,date_qualifier
bcpl_00409,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL00409]BL00409,,Samuel Frazier House (NR),This structure appears on the National Historical Registry.,Ownership: Private,Current Use: Residence,"Address: 4702 Big Springs Rd, Greenback",Location: HOUSES AND BARNS IN BLOUNT COUNTY ,"Architectural -- two story, three bay house built of rough quarried marble ca. 1795; its ""Penn Plan"" design of three rooms is unusual in the county; one of the county's oldest houses",,,4702 Big Springs Road,Greenback,Tennessee,United States,Blount County (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
bcpl_00017,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL00017]BL00017,,Friends Church (NR),This structure appears on the National Historical Registry.,Ownership: Private,"Current Use: Since 1947, St. Andrew's Episcopal Church","Address: 314 W. Broadway, Maryville, TN",Location: MARYVILLE,"Architectural -- Colonial Revival style, brick with tile roof.","Historical -- Quaker meeting house, 1871-1936; Friends' impact on religion and education in Maryville and Blount County.",,314 West Broadway,Maryville,Tennessee,United States,Maryville (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
bcpl_03530,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL03530]BL03530,,Jim Hatcher Barn,This structure appears on the National Historical Registry.,Ownership: Federal,Current Use: Museum,"Address: Cades Cove, Great Smoky Mountains National Park, TN",Location: CADES COVE HISTORIC DISTRICT; (NR as Cades Cove Historic District),"Architectural and agricultural history -- double pen log barn with saddle and V notches; built about 1930 by Jim Hatcher, a later owner of the Elijah Oliver property",,,,,,,Cades Cove (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
bcpl_03745,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL03745]BL03745,,Charles M. Hall School,,Ownership: Private,Current Use: Alcoa City Center,"Address: 229 E. Watt St., Alcoa, TN",Location: ALCOA HOUSES AND PUBLIC BUILDINGS,"Architectural -- one story brick school with hip and gable roof, built in 1926","Historical -- originally a segregated school for ""colored""; later integrated and called Alcoa Middle School; ceased to be a school in 2002 and sold to private developers",,229 East Watt Street,Alcoa,Tennessee,United States,Alcoa (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
bcpl_03333,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL03333]BL03333,,Aluminum Company of America House,,Ownership: Private,Current Use: Residence,"Address: 1431 Ramsay St., Alcoa, TN",Location: ALCOA HOUSES AND PUBLIC BUILDINGS,"Architectural -- two story frame house with front and rear gables, interior central chimney, built ca. 1920","Historical -- typical ""company house"" built by ALCOA for supervisory personnel. Company encouraged their renters to become homeowners.",,1431 Ramsay Street,Alcoa,Tennessee,United States,Alcoa (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
bcpl_02090,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL02090]BL02090,,Bethlehem Methodist Church (NR),This structure appears on the National Historical Registry.,Ownership: Private,"Current Use: Opened by Bethlehem Cemetery Association, on request, for weddings, homecomings, etc.","Address: Bethlehem Rd., 0.5 mi. S of Ellejoy Rd., Maryville, TN","Location: SCHOOLS, CHURCHES, MILLS, QUARRY, BRIDGES AND COMMERCIAL BUILDINGS IN BLOUNT CO","Architectural -- Gothic Revival wooden building, built in 1886",,,Bethlehem Road 0.5 mile South of Ellejoy Road,Maryville,Tennessee,United States,Blount County (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
bcpl_00001,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL0000l]BL0000l,,Thompson-Brown House (NR),This structure appears on the National Historical Registry.,Ownership: County,Current Use: Office space for non-profit organizations,"Address: 1004 E. Lamar Alexander Pkwy., Maryville, TN",Location: MARYVILLE,"Architectural -- 2 story, 2 pen with passage log house, built in first quarter of the 19th century.",,,1004 East Lamar Alexander Parkway,Maryville,Tennessee,United States,Maryville (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
bcpl_03550,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL03550]BL03550,,Preacher William H. Oliver or Carter Shields House,This structure appears on the National Historical Registry.,Ownership: Federal,Current Use: Museum,"Address: Cades Cove, Great Smoky Mountains National Park, TN",Location: CADES COVE HISTORIC DISTRICT; (NR as Cades Cove Historic District),"Architectural -- single pen log house, one and one- half story, built ca. 1876 of pine logs with dovetail notches; purchased in 1910 by Carter Shields",,,,,,,Cades Cove (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
bcpl_04012,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL04012]BL04012,,ALCOA South Plant Office Building (NR),This structure appears on the National Historical Registry.,Ownership: Private,Current Use: Limited use as office space,"Address: Hall Rd., Alcoa TN",Location: ALCOA HOUSES AND PUBLIC BUILDINGS,"Architectural -- three story brick with handsome art deco trim, built in 1940s",Historical -- significant to the Aluminum Company's contribution to defense and war efforts in the 1940s,,Hall Road,Alcoa,Tennessee,United States,Alcoa (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
bcpl_02598,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL02598]BL02598,The ,Old Oaken Bucket,,Ownership: Private,Current Use: Engine repair shop,"Address: Old Knoxville Hwy, 4 mi. N of Rockford Rockford, TN","Location: SCHOOLS, CHURCHES, MILLS, QUARRY, BRIDGES AND COMMERCIAL BUILDINGS IN BLOUNT CO","Commercial and architectural -- built in the 1930s, a typical service station of the era",,,Old Knoxville Highway,Rockford,Tennessee,United States,Blount County (Tenn.),"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,,,,
